id,3HSP Source name,BZcat name,R.A.,Dec,NVSS/FIRSTflux density(mJy),X-ray flux d. @ 1keV (μJy),Log(peak flux),γ-ray counterpart,Fermi γ-ray slope,2WHSP name
820,3HSPJ095549.7+101429,,148.95692,10.24139,2.4,0.03,-12.7,,,2WHSPJ095549.6+101429
821,3HSPJ095622.6-095514,,149.09425,-9.92056,14.4,,-12.2,,1.81,2WHSPJ095622.6-095514
822,3HSPJ095628.0-095719,,149.11754,-9.95528,94.7,0.51,-11.8,4FGL J0956.5-0958,1.68,2WHSPJ095628.2-095719
824,3HSPJ095800.6+473734,,149.50246,47.62611,4.7,,-12.8,2FGL J0957.7+4735,2.54,2WHSPJ095800.4+473733
826,3HSPJ095813.0-675242,,149.55417,-67.87833,39.5,1.21,-11.6,4FGL J0958.1-6753,2.21,2WHSPJ095813.0-675241
827,3HSPJ095849.0+013219,,149.70429,1.53861,1.0,0.19,-12.4,,,2WHSPJ095849.0+013218
828,3HSPJ095849.8+703959,,149.70758,70.66639,31.4,,-12.6,4FGL J0958.8+7039,2.03,2WHSPJ095849.8+703959
829,3HSPJ095904.3-074413,,149.76779,-7.73694,14.2,0.08,-12.2,,,2WHSPJ095904.2-074412
831,3HSPJ095947.8-113725,,149.94908,-11.62361,11.3,0.08,-12.5,,,2WHSPJ095947.6-113724
832,3HSPJ100009.0-000319,,150.03738,-0.05528,5.6,0.04,-13.1,,,2WHSPJ100008.8-000319
833,3HSPJ100202.0+340837,,150.50962,34.14361,18.3,0.05,-12.9,,,2WHSPJ100202.2+340836
835,3HSPJ100313.9+705912,,150.80804,70.98667,5.4,,-12.7?,,,2WHSPJ100313.9+705912
836,3HSPJ100316.7+434401,,150.81946,43.73361,5.7,,-12.9,,,2WHSPJ100316.6+434400
839,3HSPJ100408.2+144909,,151.03404,14.81917,3.5,0.08,-12.3,,,2WHSPJ100408.0+144909
841,3HSPJ100520.5+240504,,151.33529,24.08444,7.0,,-12.4,,,2WHSPJ100520.4+240503
843,3HSPJ100652.9-075545,,151.72037,-7.92917,10.7,,-12.5,,,2WHSPJ100652.7-075545
849,3HSPJ101312.5+083209,,153.30204,8.53583,8.1,,-12.5,,,2WHSPJ101312.4+083208
850,3HSPJ101436.7-210142,,153.65279,-21.02833,9.6,0.19,-12.3,,,2WHSPJ101436.6-210141
852,3HSPJ101514.3-113803,,153.80958,-11.63417,19.4,0.16,-12.4?,,,2WHSPJ101514.2-113803
853,3HSPJ101616.8+410812,,154.07008,41.13667,15.0,0.81,-12,,,2WHSPJ101616.7+410812
854,3HSPJ101619.3-040705,,154.08046,-4.11806,1.9,0.03,-12.6,,,2WHSPJ101619.3-040705
856,3HSPJ101659.8+213316,,154.24904,21.55444,1.1,,-13,,,2WHSPJ101659.7+213315
857,3HSPJ101706.7+520247,,154.27783,52.04639,40.0,0.19,-12.5,4FGL J1017.3+5204,1.93,2WHSPJ101706.6+520247
858,3HSPJ101717.1-154933,,154.32462,-15.82583,13.1,0.08,-12.4,,,2WHSPJ101717.8-154932
861,3HSPJ101858.4+215958,,154.74325,21.99944,4.7,,-12.7?,,,2WHSPJ101858.3+215957
862,3HSPJ102004.7-120959,,155.01967,-12.16639,36.3,0.05,-12.5,,,2WHSPJ102004.6-120959
864,3HSPJ102123.6-300220,,155.34833,-30.03889,6.1,0.28,-12.4,,,2WHSPJ102123.5-300220
868,3HSPJ102251.3+452141,,155.71358,45.36139,2.8,0.06,-12.8?,,,2WHSPJ102251.1+452141
870,3HSPJ102345.6-055523,,155.93983,-5.92306,28.0,0.12,-12.5?,,,2WHSPJ102345.4-055523
872,3HSPJ102404.1-161935,,156.02,-16.32639,18.6,0.07,-12.5,,,2WHSPJ102404.8-161935
874,3HSPJ102519.1-104106,,156.32954,-10.685,4.2,0.05,-12.6,,,2WHSPJ102519.0-104106
879,3HSPJ102704.3+671619,,156.768,67.27194,3.4,0.05,-12.6,,,2WHSPJ102704.3+671618
884,3HSPJ103040.4-203036,,157.66833,-20.51,11.5,0.07,-12.3,4FGL J1030.6-2028,1.89,2WHSPJ103040.3-203036
886,3HSPJ103137.9-260716,,157.90787,-26.12111,20.7,0.54,>-12,,,2WHSPJ103137.7-260715
890,3HSPJ103346.4+370824,,158.44333,37.14,7.5,0.12,-12.2,4FGL J1033.7+3708,2.4,2WHSPJ103346.3+370824
892,3HSPJ103656.0-195424,,159.23313,-19.90667,80.0,0.11,-12.5,,,2WHSPJ103655.9-195423
894,3HSPJ103838.1+675516,,159.65892,67.92111,35.6,0.12,-12.2,,,2WHSPJ103838.0+675515
895,3HSPJ103931.1+545548,,159.87971,54.93,7.8,0.06,-12.6,,,2WHSPJ103931.0+545547
897,3HSPJ104058.4+134150,,160.24325,13.69722,5.6,0.15,-11.8,4FGL J1041.0+1342,1.76,2WHSPJ104058.3+134149
898,3HSPJ104108.6-120331,,160.28575,-12.05861,14.2,0.08,-12.6,4FGL J1041.1-1201,2.11,2WHSPJ104108.5-120330
899,3HSPJ104144.5+594257,,160.43529,59.71583,3.7,,-12.8,,,2WHSPJ104144.3+594256
902,3HSPJ104303.8+005420,,160.76604,0.90556,33.3,0.49,-11.8,4FGL J1042.9+0054,1.73,2WHSPJ104303.7+005420
903,3HSPJ104516.3+275133,,161.31788,27.85917,3.5,0.05,-12.3,,,2WHSPJ104516.2+275133
904,3HSPJ104549.1-414310,,161.4575,-41.71944,129.7,0.28,-12,,,2WHSPJ104549.8-414309
905,3HSPJ104551.2-400041,,161.46313,-40.01139,4.1,0.22,-12.3,,,2WHSPJ104551.1-400041
906,3HSPJ104603.1+754040,,161.51287,75.67778,8.2,0.12,-12.4,,,2WHSPJ104603.0+754040
908,3HSPJ104654.5-002835,,161.72717,-0.47639,2.2,,-13.2,,,2WHSPJ104654.4-002835
911,3HSPJ104756.9-373730,,161.98725,-37.625,7.0,,-11.9,4FGL J1047.9-3738,1.9,2WHSPJ104756.8-373730
912,3HSPJ104810.9+855958,,162.0455,85.99944,13.8,,-12.3?,,,2WHSPJ104810.9+855957
914,3HSPJ104920.1+431525,,162.33625,43.25694,11.2,0.1,-12.6?,,,2WHSPJ104920.7+431524
916,3HSPJ105040.3+331004,,162.66788,33.16778,4.4,,-12.6,,,2WHSPJ105040.2+331004
920,3HSPJ105437.9+202740,,163.65779,20.46111,9.3,0.13,-12.4,,,2WHSPJ105437.8+202739
921,3HSPJ105451.5+162607,,163.7145,16.43528,3.9,0.06,-12.5,,,2WHSPJ105451.4+162607
924,3HSPJ105707.4+551032,,164.281,55.17556,6.0,0.08,-12.4,4FGL J1057.2+5510,1.85,2WHSPJ105707.3+551032
927,3HSPJ105757.7+293714,,164.49025,29.62056,9.4,0.1,-12.5,,,2WHSPJ105757.6+293714
928,3HSPJ105833.8+593218,,164.64067,59.53833,5.8,0.03,-12.9?,,,2WHSPJ105833.7+593217
930,3HSPJ105929.1-191221,,164.87108,-19.20583,45.9,0.23,-11.8,,,2WHSPJ105928.9-191220
934,3HSPJ110253.0-014906,,165.72092,-1.81833,12.7,0.12,-12.4,4FGL J1102.8-0148,1.54,2WHSPJ110252.9-014905
935,3HSPJ110312.9+440116,,165.80367,44.02111,4.5,0.09,-12.6,,,2WHSPJ110312.7+440115
937,3HSPJ110339.0-402402,,165.91292,-40.40056,46.9,0.14,-11.9,,,2WHSPJ110339.1-402402
939,3HSPJ110357.3+261118,,165.98871,26.18833,8.1,0.29,-12.2,4FGL J1104.0+2611,2.17,2WHSPJ110357.1+261117
940,3HSPJ110425.0+423454,,166.10396,42.58167,8.0,0.16,-12.2,,,2WHSPJ110424.9+423454
942,3HSPJ110530.7+311436,,166.37771,31.24333,3.5,0.08,-12.6,,,2WHSPJ110530.6+311435
943,3HSPJ110600.4+375445,,166.5015,37.9125,1.5,,-13.1?,,,2WHSPJ110600.3+375445
944,3HSPJ110651.9+650604,,166.71612,65.10111,3.9,,-12.7?,,,2WHSPJ110651.7+650603
946,3HSPJ110804.9+164820,,167.0205,16.80556,1.5,0.09,-12.7?,,,2WHSPJ110804.9+164820
950,3HSPJ111008.4-392615,,167.53487,-39.4375,18.5,0.11,-12.5,,,2WHSPJ111008.2-392615
952,3HSPJ111112.6+584657,,167.80246,58.7825,32.5,0.07,-12.8?,,,2WHSPJ111112.4+584656
954,3HSPJ111158.1+485701,,167.99542,48.95028,46.1,0.04,-12.5,4FGL J1111.8+4858,1.95,2WHSPJ111158.9+485701
957,3HSPJ111603.5+371036,,169.01442,37.17667,1.4,0.1,-12.3,,,2WHSPJ111603.5+371036
960,3HSPJ111709.8+585921,,169.29063,58.98917,4.6,0.09,-12.3,,,2WHSPJ111709.7+585921
964,3HSPJ111806.9-813619,,169.52867,-81.60528,18.3,0.21,-12.3,,,2WHSPJ111806.7-813619
965,3HSPJ111810.9-164339,,169.54529,-16.7275,19.9,0.14,-12.4,,,2WHSPJ111810.7-164338
970,3HSPJ112313.0-090425,,170.80504,-9.07361,5.8,0.11,-12.7,,,2WHSPJ112313.2-090424
971,3HSPJ112318.1-323218,,170.82521,-32.53833,16.9,0.57,-11.9?,4FGL J1123.1-3233,1.88,2WHSPJ112317.9-323217
974,3HSPJ112410.6-371002,,171.044,-37.16722,12.8,,-12.5,,,2WHSPJ112411.7-371009
975,3HSPJ112414.1+234032,,171.06129,23.67556,1.8,0.26,-12.2,,2.46,2WHSPJ112414.7+234032
977,3HSPJ112502.8-265402,,171.26171,-26.90056,4.5,,-12.1,,,2WHSPJ112502.8-265402
979,3HSPJ112508.6-210105,,171.28596,-21.01806,36.4,0.17,-11.7,4FGL J1125.1-2101,1.78,2WHSPJ112508.5-210105
981,3HSPJ112612.0-203724,,171.54996,-20.62333,22.9,0.76,-12,1BIGB_J112611.8-203723,2.16,2WHSPJ112611.8-203723
982,3HSPJ112635.6-425212,,171.64842,-42.87,19.8,0.79,-12,,,2WHSPJ112635.5-425211
983,3HSPJ112727.0+290829,,171.86337,29.14139,5.2,0.09,-12.7?,,,2WHSPJ112727.1+290829
984,3HSPJ112912.5-101349,,172.30221,-10.23028,5.8,0.08,-12.4,4FGL J1129.2-1014,2.09,2WHSPJ112912.4-101349
985,3HSPJ112946.3+585057,,172.44271,58.84917,3.6,,-13.1,,,2WHSPJ112946.1+585057
986,3HSPJ113032.1-780105,,172.63358,-78.01806,135.8,0.81,-11.3,4FGL J1130.5-7801,1.74,2WHSPJ113031.9-780105
987,3HSPJ113046.1-313807,,172.69225,-31.63528,23.5,0.49,-11.9,4FGL J1130.5-3137,1.28,2WHSPJ113046.0-313807
988,3HSPJ113105.3-094406,,172.77196,-9.735,22.0,0.4,-11.9,4FGL J1131.1-0944,1.84,2WHSPJ113105.2-094405
989,3HSPJ113209.3-473853,,173.03858,-47.64806,18.4,0.81,>-11.6,4FGL J1132.2-4736,2.11,2WHSPJ113209.1-473853
990,3HSPJ113302.9+184704,,173.26229,18.78444,3.9,0.12,-12.3,,,2WHSPJ113302.8+184703
991,3HSPJ113405.9+483904,,173.52467,48.65111,0.8,0.05,-12.7,,,2WHSPJ113405.8+483903
993,3HSPJ113459.5+213456,,173.74808,21.58222,1.7,,-13.1,,,2WHSPJ113459.5+213455
996,3HSPJ113641.1+234726,,174.17133,23.79056,15.4,,-12.3,,,2WHSPJ113641.0+234726
999,3HSPJ113900.8+553035,,174.75321,55.50972,1.4,0.1,-12.4,,,2WHSPJ113900.7+553034
1000,3HSPJ113921.9+312931,,174.84125,31.49194,3.7,0.1,-12.7?,,,2WHSPJ113921.8+312930
1001,3HSPJ113922.3+612644,,174.843,61.44556,,,-13.3,,,2WHSPJ113922.3+612644
1003,3HSPJ114117.6+064123,,175.32333,6.68972,6.0,0.12,-12.5?,,,2WHSPJ114117.5+064122
1004,3HSPJ114118.7+680429,,175.32775,68.07472,22.5,0.03,-12.8,4FGL J1141.4+6805,1.61,2WHSPJ114118.5+680428
1005,3HSPJ114141.1-140754,,175.42417,-14.13167,59.9,0.35,-11.9,4FGL J1141.5-1408,2.18,2WHSPJ114141.8-140754
1006,3HSPJ114221.8+334201,,175.59071,33.70028,5.1,0.05,-12.5,,,2WHSPJ114221.7+334201
1007,3HSPJ114222.6-130643,,175.59429,-13.11194,3.7,0.11,-12.3,,,2WHSPJ114222.6-130642
1008,3HSPJ114352.7+155821,,175.96946,15.9725,8.4,0.11,-12.4,,,2WHSPJ114352.6+155821
1009,3HSPJ114523.4+334744,,176.34742,33.79556,8.2,0.06,-12.5?,,,2WHSPJ114523.2+334744
1012,3HSPJ114709.0-323003,,176.78746,-32.50083,3.9,0.61,-12,,,2WHSPJ114708.8-323002
1013,3HSPJ114746.4+673906,,176.9435,67.65167,7.0,0.02,-13.3,,,2WHSPJ114746.3+673906
1014,3HSPJ114747.1-211640,,176.94962,-21.27778,4.2,0.18,-12.2,,,2WHSPJ114747.8-211640
1016,3HSPJ114830.5-074508,,177.12692,-7.75222,2.7,,-12,,,2WHSPJ114830.4-074507
1018,3HSPJ115017.0+101652,,177.57088,10.28111,26.4,,-12.3,,,2WHSPJ115016.9+101651
1019,3HSPJ115031.8-381832,,177.63238,-38.30889,38.9,,-12.3,,,2WHSPJ115031.6-381832
1022,3HSPJ115244.8+340638,,178.18683,34.11056,1.9,0.04,-12.8?,,,2WHSPJ115244.8+340638
1023,3HSPJ115257.6+241345,,178.24017,24.22917,20.5,,-12.3,,,2WHSPJ115257.6+241345
1027,3HSPJ115520.5-341719,,178.8355,-34.28861,27.9,,-11.6,4FGL J1155.5-3418,1.34,2WHSPJ115520.5-341718
1028,3HSPJ115522.1-135110,,178.84196,-13.85278,4.1,,-12.7,,,2WHSPJ115522.0-135110
1029,3HSPJ115531.3+060855,,178.88046,6.14861,1.7,0.07,-12.8,,,2WHSPJ115531.3+060854
1030,3HSPJ115633.2-225004,,179.13842,-22.83444,17.2,,-12.1,4FGL J1156.6-2248,1.89,2WHSPJ115633.1-225003
1032,3HSPJ115653.2+241246,,179.22162,24.21278,5.8,,-12,,,2WHSPJ115653.0+241246
1034,3HSPJ115803.7-033337,,179.51562,-3.56028,3.5,,-12.5?,,,2WHSPJ115803.7-033337
1035,3HSPJ115853.0+081943,,179.72167,8.32861,7.4,0.2,-12.2,4FGL J1158.9+0818,1.87,2WHSPJ115853.2+081942
1036,3HSPJ115904.4+210209,,179.76821,21.03583,35.6,0.17,-12.2,,,2WHSPJ115904.3+210208
1040,3HSPJ120136.0-060734,,180.40017,-6.12611,4.2,0.13,-12.4,,,2WHSPJ120136.0-060733
1041,3HSPJ120205.8+283326,,180.52404,28.55722,13.2,,-12.6,,,2WHSPJ120205.7+283325
1042,3HSPJ120317.9-392620,,180.82454,-39.43889,80.4,0.44,-12.1,4FGL J1203.4-3925,1.64,2WHSPJ120317.8-392620
1045,3HSPJ120440.3+503927,,181.168,50.6575,10.4,0.01,-13.2,,,2WHSPJ120440.3+503926
1046,3HSPJ120444.8-032144,,181.18671,-3.36222,2.8,,-12.4,,,2WHSPJ120444.8-032143
1047,3HSPJ120454.1+533037,,181.22546,53.51028,5.6,,-12.8,,,2WHSPJ120454.1+533037
1048,3HSPJ120543.3+582933,,181.43029,58.4925,8.6,0.08,-12.9,,,2WHSPJ120543.2+582932
1050,3HSPJ120744.7+314851,,181.93608,31.81417,2.9,0.38,-12.2,,,2WHSPJ120744.5+314851
1054,3HSPJ120850.6+452951,,182.21104,45.4975,3.1,,-12.8,,,2WHSPJ120850.5+452951
1055,3HSPJ120905.2-462948,,182.27163,-46.49667,12.6,0.12,-12.4,4FGL J1209.0-4630,2.25,2WHSPJ120905.1-462948
1059,3HSPJ121038.3-252713,,182.65971,-25.45361,9.6,0.22,-12.2,,,2WHSPJ121038.2-252712
1060,3HSPJ121129.0-072239,,182.87071,-7.3775,20.8,0.15,-12.5,,,2WHSPJ121128.9-072239
1065,3HSPJ121407.5+290328,,183.53133,29.05778,1.5,0.05,-12.5,,,2WHSPJ121407.5+290328
1069,3HSPJ121618.4+205957,,184.07646,20.99917,4.0,0.12,-12.3?,,,2WHSPJ121618.2+205957
1070,3HSPJ121815.8+322344,,184.56567,32.39556,2.2,0.04,-12.8,,,2WHSPJ121815.7+322344
1071,3HSPJ121903.0+402442,,184.76246,40.41167,9.2,0.03,-12.7,,,2WHSPJ121902.8+402442
1072,3HSPJ121919.4+303937,,184.83079,30.66028,67.4,,-12.6,,,2WHSPJ121919.3+303937
1077,3HSPJ122019.1-371414,,185.08254,-37.23722,6.9,,-11.8,4FGL J1220.2-3713,2.05,2WHSPJ122019.8-371413
1078,3HSPJ122033.6+033807,,185.14008,3.63528,1.0,,-13.2,,,2WHSPJ122033.5+033807
1079,3HSPJ122044.6+690525,,185.18567,69.09028,8.2,0.69,-12,3FGL J1218.5+6912,,2WHSPJ122044.5+690525
1081,3HSPJ122114.4+352239,,185.31017,35.3775,13.6,0.07,-12.7,,,2WHSPJ122114.4+352238
1083,3HSPJ122158.1+493413,,185.49196,49.57028,8.9,,-13.1,,,2WHSPJ122158.0+493413
1084,3HSPJ122208.8+030718,,185.53658,3.12167,3.6,0.58,>-11.8,,,2WHSPJ122208.6+030718
1086,3HSPJ122239.4-345841,,185.66412,-34.97806,5.2,,-11.9,,,2WHSPJ122239.2-345841
1087,3HSPJ122304.1+453444,,185.77042,45.57889,4.5,0.03,-12.9,,,2WHSPJ122304.9+453444
1088,3HSPJ122307.2+110038,,185.78017,11.01056,1.6,0.13,-12.3,4FGL J1223.0+1100,1.99,2WHSPJ122307.2+110038
1090,3HSPJ122337.0-303250,,185.90421,-30.54722,8.3,0.35,-11.7,4FGL J1223.6-3032,1.89,2WHSPJ122337.0-303249
1091,3HSPJ122340.1+124203,,185.91729,12.70083,56.5,,-12.6,,,2WHSPJ122340.0+124202
1092,3HSPJ122352.1+302726,,185.96717,30.45722,15.9,,-12.9,,,2WHSPJ122352.0+302725
1098,3HSPJ122525.3-155317,,186.35538,-15.88806,8.1,0.17,-12.4,,,2WHSPJ122525.1-155317
1102,3HSPJ122820.5+155655,,187.08554,15.94861,8.7,,-12.2,,,2WHSPJ122820.5+155654
1103,3HSPJ122903.0-140251,,187.26258,-14.0475,20.7,0.12,-12.3,,,2WHSPJ122902.9-140250
1104,3HSPJ122944.5+164004,,187.43554,16.66778,10.4,0.24,-12.3,,,2WHSPJ122944.5+164004
1112,3HSPJ123353.4+145925,,188.47263,14.99028,3.9,,-12.8,,,2WHSPJ123353.3+145925
1113,3HSPJ123402.4+281502,,188.50987,28.25056,5.6,,-12.3,,,2WHSPJ123402.2+281502
1117,3HSPJ123554.7+055213,,188.97804,5.87028,1.7,0.07,-12.8,,,2WHSPJ123554.7+055213
1121,3HSPJ123800.2+263553,,189.50071,26.59806,2.2,0.07,-12.9,,,2WHSPJ123800.1+263553
1125,3HSPJ124112.1+495548,,190.30029,49.93,22.4,0.05,-12.7,,,2WHSPJ124112.0+495547
1131,3HSPJ124430.8+351003,,191.12813,35.1675,3.6,,-12.7?,,,2WHSPJ124430.7+351002
1133,3HSPJ124816.6+074258,,192.06933,7.71611,14.8,0.1,-12.7?,,,2WHSPJ124816.6+074257
1134,3HSPJ124919.3-280834,,192.33046,-28.14278,26.9,0.22,-11.8,4FGL J1249.2-2809,2.07,2WHSPJ124919.3-280834
1143,3HSPJ125408.1-280931,,193.53392,-28.15861,32.6,,-11.8,,,2WHSPJ125408.1-280930
1145,3HSPJ125445.5+470132,,193.68946,47.02556,13.5,0.06,-12.6,,,2WHSPJ125445.4+470132
1146,3HSPJ125447.6-142150,,193.69846,-14.36389,4.9,0.29,-12.3,,,2WHSPJ125447.5-142150
1147,3HSPJ125449.3+570452,,193.70538,57.08111,17.5,,-12.8,,,2WHSPJ125449.2+570451
1148,3HSPJ125509.8+280417,,193.79088,28.07139,1.7,0.04,-12.9,,,2WHSPJ125509.7+280417
1149,3HSPJ125528.6+091100,,193.86925,9.18333,3.3,,-12.3,,,2WHSPJ125528.6+091059
1150,3HSPJ125548.1+141108,,193.95025,14.18556,3.3,0.1,-12.3,,,2WHSPJ125547.9+141108
1153,3HSPJ125708.4+264925,,194.28487,26.82361,5.1,0.16,-12.6,,,2WHSPJ125708.2+264924
1154,3HSPJ125724.0+483232,,194.34983,48.54222,1.0,0.04,-12.9?,,,2WHSPJ125723.8+483231
1158,3HSPJ125822.1+062827,,194.59504,6.47417,3.7,0.26,-12.4,,,2WHSPJ125822.8+062827
1160,3HSPJ125908.6+412937,,194.78604,41.49361,45.9,0.21,-12.3,,,2WHSPJ125908.5+412936
1168,3HSPJ130619.7-023643,,196.58225,-2.61194,0.9,0.12,-12.8?,,,2WHSPJ130619.6-023642
1169,3HSPJ130631.0+192244,,196.62912,19.37889,1.3,0.32,-12.1,,,2WHSPJ130630.9+192244
1170,3HSPJ130711.9+115316,,196.79975,11.88778,4.7,0.15,-12.1,,,2WHSPJ130711.8+115316
1171,3HSPJ130713.4-034431,,196.80575,-3.74194,33.1,0.2,-12.1,1BIGB_J130713.3-034430,2.55,2WHSPJ130713.3-034430
1173,3HSPJ130750.7+124828,,196.96117,12.80778,8.1,0.06,-12.8,,,2WHSPJ130750.5+124828
1174,3HSPJ130931.5-224425,,197.38117,-22.74028,40.6,,-12.5,,,2WHSPJ130931.0-224432
1179,3HSPJ131234.7-185901,,198.14458,-18.98361,18.0,0.29,-12.5,4FGL J1312.6-1900,1.97,2WHSPJ131234.6-185900
1180,3HSPJ131248.8-235047,,198.20321,-23.84639,28.9,,-11.9,4FGL J1312.8-2350,1.8,2WHSPJ131248.7-235047
1182,3HSPJ131440.6-090148,,198.66929,-9.03,10.0,0.3,-12.2?,,,2WHSPJ131440.6-090147
1184,3HSPJ131532.6+113331,,198.88592,11.55861,20.7,0.85,-11.7,4FGL J1315.5+1135,1.96,2WHSPJ131532.5+113330
1186,3HSPJ131639.8+205514,,199.16604,20.92056,12.9,0.21,-12.2,,,2WHSPJ131639.7+205514
1187,3HSPJ131654.6+301454,,199.22737,30.24833,4.3,0.36,-12.4,4FGL J1316.5+3013,2.02,2WHSPJ131654.4+301453
1188,3HSPJ131720.0+543512,,199.33333,54.58667,8.0,0.09,-12.2,,,2WHSPJ131719.9+543512
1191,3HSPJ132001.2+344445,,200.00496,34.74583,1.2,0.05,-12.9,,,2WHSPJ132001.0+344444
1193,3HSPJ132140.7-343752,,200.4195,-34.63111,22.2,0.32,-12,,,2WHSPJ132140.6-343751
1195,3HSPJ132239.3+494336,,200.66371,49.72667,6.6,0.23,>-12.1,,,2WHSPJ132239.1+494336
1196,3HSPJ132244.2+664942,,200.68437,66.82833,14.7,0.04,-12.5,,,2WHSPJ132244.2+664941
1199,3HSPJ132527.5-280521,,201.36471,-28.08917,25.4,0.11,-12.4,,,2WHSPJ132527.4-280521
1202,3HSPJ132556.1+080928,,201.48358,8.15778,8.9,0.14,-12.5?,,,2WHSPJ132555.9+080928
1205,3HSPJ132635.9+254958,,201.64971,25.83278,1.5,0.06,-12.9,,,2WHSPJ132635.8+254958
1206,3HSPJ132745.0-082937,,201.93742,-8.49361,16.6,0.22,-12.4,,,2WHSPJ132744.8-082936
1208,3HSPJ132840.6-472749,,202.16921,-47.46361,123.6,0.61,-11.8,4FGL J1328.5-4727,1.7,2WHSPJ132840.6-472748
1209,3HSPJ132845.8+720402,,202.19092,72.06722,8.1,,-12.3,,,2WHSPJ132845.7+720401
1210,3HSPJ132949.1+071418,,202.4545,7.23833,1.7,0.07,-12.9?,,,2WHSPJ132949.0+071417
1214,3HSPJ133044.2+470359,,202.68425,47.06639,2.8,0.02,-13.4,,,2WHSPJ133044.2+470359
1215,3HSPJ133046.0+113940,,202.69175,11.66111,1.4,,-12.7?,,,2WHSPJ133046.0+113939
1223,3HSPJ133647.2+602049,,204.19675,60.34694,5.7,0.06,-12.7?,,,2WHSPJ133647.2+602048
1224,3HSPJ133806.4-093114,,204.52646,-9.52056,4.3,0.03,-12.8,,,2WHSPJ133806.3-093114
1225,3HSPJ133844.7+412231,,204.68612,41.37528,,0.05,-12.8,,,2WHSPJ133844.4+412211
1226,3HSPJ133922.1+474213,,204.84217,47.70361,1.6,0.02,-12.9,,,2WHSPJ133922.0+474212
1227,3HSPJ133937.1+183059,,204.90754,18.51639,3.3,0.35,-12.2,,,2WHSPJ133937.8+183059
1229,3HSPJ134042.0-041006,,205.17508,-4.16833,27.2,0.2,-12,4FGL J1340.8-0409,1.98,2WHSPJ134042.0-041005
1231,3HSPJ134223.0-313557,,205.59754,-31.59917,88.3,,-11.9,,,2WHSPJ134223.4-313557
1232,3HSPJ134240.3+093911,,205.668,9.65306,2.5,0.06,-12.4,,1.87,2WHSPJ134240.3+093911
1233,3HSPJ134249.8+035846,,205.70746,3.97944,1.7,0.12,-12.6,,,2WHSPJ134249.6+035845
1234,3HSPJ134251.1-353142,,205.71275,-35.52833,28.7,0.17,-12.2,,,2WHSPJ134251.0-353141
1235,3HSPJ134347.5+002023,,205.94771,0.33972,2.8,,-12.8,,,2WHSPJ134347.4+002022
1236,3HSPJ134428.2+045029,,206.11767,4.84139,1.5,0.12,-12.8?,,,2WHSPJ134428.1+045029
1237,3HSPJ134525.2+231038,,206.35496,23.17722,0.9,0.09,-12.6,,,2WHSPJ134525.0+231037
1238,3HSPJ134545.0+702903,,206.43754,70.48417,6.1,0.04,-12.6,,,2WHSPJ134544.9+702903
1239,3HSPJ134621.3+080837,,206.58892,8.14361,3.5,0.18,-12.6?,,,2WHSPJ134621.3+080836
1240,3HSPJ134706.9-295842,,206.77867,-29.97833,25.7,,-11.5,4FGL J1347.1-2959,1.74,2WHSPJ134706.7-295841
1242,3HSPJ134951.1+421647,,207.46304,42.27972,1.6,0.12,-12.4,,,2WHSPJ134951.1+421646
1243,3HSPJ135043.9-310927,,207.68283,-31.1575,15.5,0.28,-12,,,2WHSPJ135043.7-310926
1246,3HSPJ135127.0-000116,,207.8625,-0.02111,1.7,0.01,-13.1,,,2WHSPJ135126.9-000115
1247,3HSPJ135133.0-263318,,207.88746,-26.555,23.1,,-11.9,,,2WHSPJ135132.8-263317
1249,3HSPJ135159.7+041212,,207.99867,4.20333,4.3,0.15,-12.6,,,2WHSPJ135159.5+041211
1250,3HSPJ135206.9+425237,,208.02862,42.87694,3.8,0.11,-12.6?,,,2WHSPJ135206.7+425236
