id,3HSP Source name,BZcat name,R.A.,Dec,NVSS/FIRSTflux density(mJy),X-ray flux d. @ 1keV (μJy),Log(peak flux),γ-ray counterpart,Fermi γ-ray slope,2WHSP name
1616,3HSPJ171610.2+433756,,259.04246,43.63222,1.8,0.04,-12.7,,,2WHSPJ171610.0+433755
1617,3HSPJ171622.9+480246,,259.09558,48.04611,4.4,0.04,-12.6,,,2WHSPJ171622.9+480245
1618,3HSPJ171841.4+360522,,259.67258,36.08944,13.6,0.07,-12.7,,,2WHSPJ171841.4+360521
1619,3HSPJ171902.3+552434,,259.75971,55.40944,1.8,0.09,-12.5,,,2WHSPJ171902.2+552433
1620,3HSPJ171921.5+120721,,259.83958,12.1225,57.6,0.19,-12.4,4FGL J1719.3+1205,2.08,2WHSPJ171921.4+120721
1621,3HSPJ172035.0+100511,,260.14567,10.08639,17.6,0.3,-12.6,,,2WHSPJ172034.9+100511
1623,3HSPJ172658.2+263437,,261.74267,26.57694,34.6,0.32,-12.3,,,2WHSPJ172658.2+263436
1625,3HSPJ172838.3+704102,,262.15979,70.68389,5.8,0.06,-12.3,,,2WHSPJ172838.2+704102
1627,3HSPJ173044.8+380454,,262.68663,38.08167,7.3,0.08,-12.6,,,2WHSPJ173044.6+380454
1630,3HSPJ173842.5+382102,,264.67696,38.35056,13.4,0.4,-12.1?,,,2WHSPJ173842.4+382102
1631,3HSPJ174017.4+432450,,265.07242,43.41389,6.7,0.09,-12.7,,,2WHSPJ174017.2+432450
1632,3HSPJ174109.0-733814,,265.28738,-73.63722,9.9,,-11.9,,,2WHSPJ174108.8-733813
1633,3HSPJ174357.5+375310,,265.98975,37.88611,4.1,0.09,-12.5,,,2WHSPJ174357.4+375309
1635,3HSPJ174419.8+185218,,266.0825,18.87167,12.8,0.17,-12,4FGL J1744.4+1851,1.61,2WHSPJ174419.7+185218
1642,3HSPJ174929.9+463135,,267.37471,46.52639,3.5,0.1,-12.5,,,2WHSPJ174929.8+463135
1643,3HSPJ175052.7+550750,,267.71971,55.13056,11.4,0.03,-12.7,,,2WHSPJ175052.6+550750
1644,3HSPJ175156.8+655117,,267.98687,65.85472,40.6,0.04,-12.7,,,2WHSPJ175156.8+655116
1645,3HSPJ175328.1+321848,,268.367,32.31333,2.9,0.17,-12.5,,2.02,2WHSPJ175328.0+321847
1646,3HSPJ175600.7+332924,,269.00287,33.49,21.2,0.04,-12.8,,,2WHSPJ175600.5+332924
1649,3HSPJ175751.0-453506,,269.46379,-45.585,51.2,0.18,-11.9,,,2WHSPJ175751.2-453506
1651,3HSPJ175955.3+150109,,269.98025,15.01917,2.9,0.34,-11.9,,,2WHSPJ175955.2+150109
1652,3HSPJ180002.0+281045,,270.0085,28.17917,9.0,0.44,-12,4FGL J1800.1+2812,1.88,2WHSPJ180001.9+281045
1653,3HSPJ180144.0+295055,,270.43317,29.84861,17.9,0.41,-12.1,FL8Y J1801.8+2948,,2WHSPJ180143.9+295054
1654,3HSPJ180158.9+610938,,270.49554,61.16056,29.5,0.08,-12.2,,,2WHSPJ180158.9+610938
1655,3HSPJ180311.4+723504,,270.79767,72.58444,21.7,0.02,-12.7,,,2WHSPJ180311.3+723503
1658,3HSPJ180409.0+562122,,271.03879,56.35611,4.5,0.15,-12.4,,,2WHSPJ180409.3+562121
1659,3HSPJ180431.9+614113,,271.13308,61.68694,3.8,0.03,-12.9,,,2WHSPJ180432.2+614120
1660,3HSPJ180451.4+322026,,271.21412,32.34056,10.6,0.23,-12.3,,,2WHSPJ180451.3+322026
1662,3HSPJ180832.7+510407,,272.13633,51.06861,4.7,0.09,-12.3,,,2WHSPJ180832.7+510406
1663,3HSPJ180845.7+241905,,272.19037,24.31806,4.6,0.12,-12.3,4FGL J1808.8+2419,2.15,2WHSPJ180845.6+241905
1668,3HSPJ181403.4+382810,,273.51429,38.46944,7.0,0.38,-12.1,4FGL J1814.0+3828,2.15,2WHSPJ181403.4+382809
1669,3HSPJ182021.0+362343,,275.08742,36.39528,13.9,0.35,-12.1,4FGL J1820.3+3624,1.78,2WHSPJ182020.8+362343
1671,3HSPJ182419.0+430949,,276.07929,43.16361,33.7,0.81,-11.7,4FGL J1824.5+4311,1.72,2WHSPJ182419.0+430948
1672,3HSPJ182532.0+601922,,276.38325,60.32278,5.2,0.09,-12.5,,,2WHSPJ182531.9+601922
1673,3HSPJ182833.5-592054,,277.13979,-59.34833,7.3,0.44,-11.8,,,2WHSPJ182833.4-592053
1676,3HSPJ183141.0+422130,,277.92087,42.35833,11.4,0.06,-12.5,,,2WHSPJ183140.9+422129
1677,3HSPJ183201.0+382137,,278.00408,38.36028,36.8,0.19,-12.2,4FGL J1831.9+3820,2.05,2WHSPJ183200.9+382137
1678,3HSPJ183229.4+512128,,278.12233,51.35778,9.9,,-12.9,,,2WHSPJ183229.2+512128
1679,3HSPJ183806.7-600032,,279.52808,-60.00889,79.6,,-12,4FGL J1838.0-5959,1.86,2WHSPJ183806.7-600032
1680,3HSPJ183820.6-602522,,279.586,-60.42278,42.4,0.42,-12,4FGL J1838.4-6023,1.87,2WHSPJ183820.5-602522
1683,3HSPJ184121.7+290940,,280.34054,29.16111,64.6,8.59,-11.6,4FGL J1841.3+2909,1.57,2WHSPJ184121.7+290939
1685,3HSPJ184207.4+521702,,280.531,52.28389,24.4,0.12,-12.5,,,2WHSPJ184207.3+521702
1688,3HSPJ184430.9+544144,,281.12858,54.69556,50.2,0.13,-11.9,,,2WHSPJ184430.7+544144
1690,3HSPJ184514.1+555242,,281.30883,55.87833,7.3,,-12.5,,,2WHSPJ184514.0+555241
1691,3HSPJ184642.7+561627,,281.67775,56.27417,16.2,0.12,-12.4,,,2WHSPJ184642.6+561627
1695,3HSPJ184951.7+745318,,282.46525,74.88833,23.0,0.04,-12.6,,,2WHSPJ184951.5+745317
1696,3HSPJ185024.0+263153,,282.60013,26.53139,19.0,1.9,-11.9,4FGL J1850.5+2631,1.77,2WHSPJ185023.9+263153
1698,3HSPJ185550.9+805223,,283.96204,80.87306,8.7,0.03,-12.9,,,2WHSPJ185550.8+805223
1699,3HSPJ185813.4+432451,,284.55596,43.41417,67.4,,-11.9,4FGL J1858.3+4321,2.28,2WHSPJ185813.3+432451
1700,3HSPJ190411.8+362658,,286.04933,36.44944,98.8,3.14,-11.8,4FGL J1904.1+3627,2.1,2WHSPJ190411.8+362657
1706,3HSPJ191809.6+375313,,289.54017,37.88694,9.5,2.69,-11.6,4FGL J1918.1+3752,2.19,2WHSPJ191809.6+375312
1707,3HSPJ192024.9+693537,,290.10392,69.59361,9.6,0.03,-13,,,2WHSPJ192024.9+693536
1709,3HSPJ192242.3-745356,,290.67625,-74.89889,13.7,0.16,-11.8,4FGL J1922.5-7453,2.22,2WHSPJ192242.2-745356
1713,3HSPJ192527.1-722044,,291.36308,-72.34556,,0.09,-11.9,,,2WHSPJ192527.1-722044
1717,3HSPJ193412.8-241920,,293.55321,-24.32222,19.2,0.86,-11.4,4FGL J1934.3-2419,1.59,2WHSPJ193412.7-241919
1718,3HSPJ193419.6+600139,,293.58175,60.0275,19.0,0.08,-12,4FGL J1934.2+6002,2.14,2WHSPJ193419.6+600139
1719,3HSPJ193517.6+751933,,293.82333,75.32583,5.3,0.1,-12.4,,,2WHSPJ193517.5+751932
1721,3HSPJ193804.6-380117,,294.51896,-38.02139,11.4,0.05,-12.3?,,,2WHSPJ193804.5-380117
1723,3HSPJ194333.8-053353,,295.89083,-5.56472,7.1,0.23,>-11.8,3FGL J1944.0-0535,2.35,2WHSPJ194333.7-053352
1724,3HSPJ194356.2+211822,,295.98433,21.30611,103.5,2.45,-11,4FGL J1944.0+2117,1.43,2WHSPJ194356.2+211821
1725,3HSPJ194422.4-452331,,296.09333,-45.39194,67.3,0.42,-11.6,4FGL J1944.4-4523,1.56,2WHSPJ194422.3-452330
1726,3HSPJ194455.2-214319,,296.22983,-21.72194,42.2,0.35,-12,4FGL J1944.9-2143,1.85,2WHSPJ194455.0-214318
1727,3HSPJ194615.3-520848,,296.56371,-52.14667,95.3,0.1,-12.2,,,2WHSPJ194615.1-520848
1728,3HSPJ194934.2+090653,,297.3925,9.11472,28.2,0.05,-11.6,4FGL J1949.5+0906,2.47,2WHSPJ194934.1+090652
1729,3HSPJ195021.9+604753,,297.59117,60.79806,6.9,0.17,-12.1,,,2WHSPJ195020.9+604750
1730,3HSPJ195134.9-154930,,297.89529,-15.825,6.4,0.14,-12.1,,,2WHSPJ195134.7-154929
1731,3HSPJ195500.7-160338,,298.75271,-16.06056,24.8,0.33,-11.7,4FGL J1955.1-1604,2.05,2WHSPJ195500.5-160338
1732,3HSPJ195502.8-564028,,298.76187,-56.67444,8.4,0.25,-11.5,4FGL J1954.9-5640,1.88,2WHSPJ195502.8-564027
1733,3HSPJ195547.9+021512,,298.94942,2.25333,32.1,0.33,-11.4,4FGL J1955.7+0214,1.93,2WHSPJ195547.8+021511
1734,3HSPJ195755.0-241950,,299.47925,-24.33056,106.9,0.2,-11.9,,,2WHSPJ195755.0-241950
1738,3HSPJ195945.7-472519,,299.94025,-47.42194,23.8,0.46,-11.4,4FGL J1959.7-4725,1.81,2WHSPJ195945.5-472518
1740,3HSPJ200053.9-364226,,300.22479,-36.70722,3.6,0.12,-12.2,,,2WHSPJ200054.0-364226
1742,3HSPJ200204.2-573645,,300.51742,-57.6125,18.0,0.13,-11.7,4FGL J2001.9-5737,1.94,2WHSPJ200204.0-573644
1743,3HSPJ200213.7-583736,,300.557,-58.62667,37.2,0.09,-12.2,,,2WHSPJ200213.6-583736
1745,3HSPJ200245.4+630233,,300.68908,63.0425,11.6,0.22,-12.1,4FGL J2002.6+6302,2.13,2WHSPJ200245.3+630232
1747,3HSPJ200632.1+635549,,301.63667,63.93028,5.5,0.08,-12.4,,,2WHSPJ200632.8+635549
1749,3HSPJ201002.9-244737,,302.51221,-24.79361,29.7,0.08,-12.3,,,2WHSPJ201002.8-244736
1750,3HSPJ201201.0-771219,,303.00408,-77.20528,9.6,0.18,-12,1BIGB_J201200.9-771219,2.07,2WHSPJ201200.9-771219
1757,3HSPJ201924.7+712624,,304.85308,71.44,15.8,0.08,-11.9,,,2WHSPJ201924.7+712623
1759,3HSPJ202429.4-084804,,306.12238,-8.80111,37.1,0.72,-11.8,4FGL J2024.4-0847,1.7,2WHSPJ202429.2-084803
1760,3HSPJ202630.8+764448,,306.62829,76.74667,6.4,0.28,-12,4FGL J2026.1+7645,1.84,2WHSPJ202630.7+764448
1766,3HSPJ203057.1+193612,,307.738,19.60333,56.8,0.22,-11.8,4FGL J2030.9+1935,1.83,2WHSPJ203057.1+193611
1768,3HSPJ203156.1-345850,,307.98371,-34.98056,14.6,0.09,-12.4,,,2WHSPJ203155.9-345850
1769,3HSPJ203451.1-420038,,308.71283,-42.01056,,0.25,-11.6,4FGL J2034.8-4200,1.95,2WHSPJ203450.9-420038
1770,3HSPJ203508.6-471708,,308.786,-47.28556,84.9,0.08,-12.2,,,2WHSPJ203508.5-471708
1771,3HSPJ203649.5-332830,,309.20621,-33.475,3.5,0.36,-11.8,4FGL J2036.9-3329,1.3,2WHSPJ203649.3-332830
1773,3HSPJ203856.1-185916,,309.73625,-18.98778,3.8,0.08,-12.6,,,2WHSPJ203856.7-185916
1775,3HSPJ203941.1-422052,,309.92138,-42.34778,13.2,0.07,-12.4,,,2WHSPJ203941.0-422052
1776,3HSPJ204006.6-462018,,310.02758,-46.33833,41.3,0.2,-11.8,4FGL J2040.1-4621,1.78,2WHSPJ204006.5-462017
1777,3HSPJ204008.3-711459,,310.03446,-71.24972,494.2,0.68,-11.2,4FGL J2040.2-7115,1.8,2WHSPJ204008.2-711458
1778,3HSPJ204150.2-373339,,310.45929,-37.56083,125.0,0.65,-11.5,4FGL J2041.9-3735,1.78,2WHSPJ204150.2-373338
1779,3HSPJ204201.9-731913,,310.508,-73.32028,33.4,,-11.8,4FGL J2041.8-7319,2.21,2WHSPJ204201.9-731913
1781,3HSPJ204600.5-343017,,311.50225,-34.50472,13.0,0.14,-12.3,,,2WHSPJ204600.4-343016
1782,3HSPJ204735.1+793800,,311.89608,79.63333,9.8,0.03,-12.8,,,2WHSPJ204734.9+793759
1789,3HSPJ205637.1+221845,,314.15458,22.3125,109.5,0.12,-12.3,,,2WHSPJ205637.0+221845
1791,3HSPJ205846.7-144304,,314.69475,-14.71778,147.0,,-12.2,4FGL J2058.8-1442,1.97,2WHSPJ205846.6-144304
1793,3HSPJ210050.6-430532,,315.21096,-43.09222,20.5,0.12,-12.5,,,2WHSPJ210050.5-430531
1794,3HSPJ210123.1-454949,,315.34608,-45.83028,248.1,,-11.4,,,2WHSPJ210122.9-454949
1795,3HSPJ210123.9+091324,,315.34942,9.22333,54.8,0.2,-11.8,4FGL J2101.3+0912,2.05,2WHSPJ210123.8+091323
1796,3HSPJ210338.4-623225,,315.90992,-62.54028,83.5,0.12,-11.3,4FGL J2103.8-6233,1.98,2WHSPJ210338.2-623225
1797,3HSPJ210415.9+211808,,316.06633,21.30222,14.7,0.09,-12,4FGL J2104.4+2116,2.05,2WHSPJ210415.9+211807
1798,3HSPJ210421.9-021238,,316.09138,-2.21056,14.1,0.21,-11.7,4FGL J2104.3-0212,1.52,2WHSPJ210421.8-021238
1799,3HSPJ210451.1+050320,,316.21271,5.05556,137.2,0.16,-11.8,,,2WHSPJ210450.9+050320
1800,3HSPJ210721.2-145418,,316.83821,-14.905,37.5,0.22,-12.1,,,2WHSPJ210721.1-145417
1803,3HSPJ211011.2-861847,,317.54658,-86.31306,25.1,0.08,-12,4FGL J2109.8-8618,1.74,2WHSPJ211011.1-861847
1804,3HSPJ211207.5-144412,,318.03112,-14.73667,35.3,0.26,-12.1,,,2WHSPJ211207.3-144412
1805,3HSPJ211243.0+081835,,318.17917,8.30972,23.5,0.88,-11.9,4FGL J2112.7+0819,1.81,2WHSPJ211243.0+081834
1806,3HSPJ211349.1+082501,,318.45667,8.41694,68.6,0.14,-12.2,,,2WHSPJ211349.6+082500
1807,3HSPJ211353.1+133017,,318.47379,13.50472,68.9,0.24,-12,,,2WHSPJ211353.6+133016
1808,3HSPJ211355.6-015540,,318.48179,-1.92778,45.7,0.06,-12.2,,,2WHSPJ211355.6-015540
1809,3HSPJ211501.0-005641,,318.75587,-0.94472,17.2,0.09,-12.5,,,2WHSPJ211501.3-005640
1811,3HSPJ211544.1-012545,,318.93362,-1.42917,4.8,0.28,-12.1,,,2WHSPJ211543.9-012545
1812,3HSPJ211605.0+251200,,319.02092,25.2,6.8,0.02,-12.5,,,2WHSPJ211604.9+251159
1814,3HSPJ211754.1-324328,,319.47879,-32.72444,22.6,0.11,-12.2,4FGL J2117.8-3243,2.31,2WHSPJ211754.8-324327
1815,3HSPJ212125.5-831914,,320.35617,-83.32056,6.5,0.1,-12.4,,,2WHSPJ212125.3-831914
1816,3HSPJ212233.8+192527,,320.64067,19.42417,5.0,0.05,-12.4,,,2WHSPJ212233.7+192527
1819,3HSPJ212840.0-194152,,322.1665,-19.69778,86.5,0.12,-12.3,,,2WHSPJ212839.9-194152
1821,3HSPJ213004.8-563222,,322.51987,-56.53944,11.0,0.04,-12.5,,,2WHSPJ213004.6-563221
1825,3HSPJ213306.0-281536,,323.27625,-28.26,83.3,0.09,-12.1,,,2WHSPJ213306.3-281536
1828,3HSPJ213448.2-164205,,323.70092,-16.70139,6.0,,-12.6,,,2WHSPJ213448.1-164205
1829,3HSPJ213510.9+224307,,323.79546,22.71861,21.0,0.11,-12.6,,,2WHSPJ213510.9+224306
1830,3HSPJ213818.4-352204,,324.57646,-35.36778,11.7,,-12.5,,,2WHSPJ213818.3-352204
1833,3HSPJ214130.9+211526,,325.37871,21.25722,26.8,0.22,-12.3,,,2WHSPJ214130.7+211525
1834,3HSPJ214226.5+365949,,325.61037,36.99694,8.8,0.97,-11.5,4FGL J2142.4+3659,1.97,2WHSPJ214226.4+365948
1837,3HSPJ214255.6-391312,,325.73179,-39.22,8.0,0.04,-12.6,,,2WHSPJ214255.6-391311
1838,3HSPJ214410.0-195600,,326.04175,-19.93333,41.9,0.11,-12.4,,,2WHSPJ214410.0-195559
1840,3HSPJ214442.1-181800,,326.17538,-18.3,37.3,0.21,-12.2,,,2WHSPJ214442.0-181800
1841,3HSPJ214453.4-185725,,326.22233,-18.95694,44.6,0.08,-12.7,,,2WHSPJ214453.2-185724
1845,3HSPJ214609.1+850148,,326.54,85.03,26.4,0.23,-11.9,,,2WHSPJ214609.6+850148
1848,3HSPJ214924.0-563112,,327.35004,-56.52,11.2,0.05,-12.5,,,2WHSPJ214924.0-563112
1849,3HSPJ215006.4-044130,,327.52646,-4.69167,6.9,0.13,-12.5,,,2WHSPJ215006.3-044130
1850,3HSPJ215006.8-245723,,327.52842,-24.95639,29.0,0.05,-12.3,,,2WHSPJ215006.7-245723
1855,3HSPJ215258.4+172459,,328.24329,17.41639,12.9,0.06,-12.6,,2.18,2WHSPJ215258.3+172459
1857,3HSPJ215355.1-295444,,328.48254,-29.91222,15.4,0.23,-12.3,,,2WHSPJ215355.8-295443
1859,3HSPJ215511.6-253755,,328.79854,-25.63194,12.2,0.15,-12.3?,,,2WHSPJ215511.5-253754
1860,3HSPJ215601.6+181837,,329.00683,18.31028,33.3,0.51,-11.7,4FGL J2156.0+1818,1.91,2WHSPJ215601.6+181837
1864,3HSPJ220031.3+003541,,330.13046,0.59472,5.1,0.16,-12.5,,,2WHSPJ220031.3+003540
1865,3HSPJ220107.3-590640,,330.28054,-59.11111,34.2,0.34,-11.8,1BIGB_J220107.3-590639,1.85,2WHSPJ220107.3-590639
1866,3HSPJ220123.8+294934,,330.34925,29.82611,6.8,0.24,-12.4,FL8Y J2201.6+2953,,2WHSPJ220123.8+294933
1867,3HSPJ220146.9-145439,,330.44558,-14.91083,35.1,0.11,-12.4,,,2WHSPJ220146.9-145438
1870,3HSPJ220451.0-181536,,331.21379,-18.26,38.6,0.17,-11.9,,,2WHSPJ220451.3-181536
1872,3HSPJ220941.7-045110,,332.42371,-4.85278,25.0,0.11,-12,4FGL J2209.7-0451,1.27,2WHSPJ220941.5-045110
1873,3HSPJ221029.7+362159,,332.62367,36.36639,28.7,0.4,-12,1BIGB_J221029.5+362159,2.08,2WHSPJ221029.5+362159
1878,3HSPJ221405.0+393857,,333.52104,39.64917,6.1,0.21,-12.1,,,2WHSPJ221404.9+393857
1881,3HSPJ221919.9-323033,,334.83308,-32.50917,11.4,0.13,-12.1?,,,2WHSPJ221919.9-323033
1882,3HSPJ222028.7+281355,,335.11967,28.23194,48.9,0.33,-12,4FGL J2220.5+2813,1.83,2WHSPJ222028.6+281354
1886,3HSPJ222425.0+035458,,336.10404,3.91611,40.8,0.08,-12.3,4FGL J2224.5+0353,1.6,2WHSPJ222424.9+035457
1887,3HSPJ222512.7+113600,,336.30271,11.6,9.8,0.14,-12.3,,,2WHSPJ222512.6+113559
1888,3HSPJ222610.9-840622,,336.54562,-84.10611,44.2,,-12.2,,,2WHSPJ222610.9-840621
1889,3HSPJ222636.5+021037,,336.65188,2.17694,17.6,0.21,-12,4FGL J2226.6+0210,1.73,2WHSPJ222636.4+021036
1890,3HSPJ222906.3-313020,,337.27608,-31.50556,5.0,0.05,-12.9,,,2WHSPJ222906.1-313020
1891,3HSPJ223245.1-004032,,338.18962,-0.67556,28.3,0.19,-12.3,,,2WHSPJ223245.4-004032
1892,3HSPJ223248.8-202226,,338.20333,-20.37389,12.5,0.89,-11.7,4FGL J2232.6-2023,2.08,2WHSPJ223248.7-202226
1894,3HSPJ223626.3+370713,,339.10975,37.12028,56.9,,-11.8,4FGL J2236.6+3706,1.84,2WHSPJ223626.2+370713
1901,3HSPJ224340.0-123059,,340.91792,-12.51639,10.7,0.74,-11.6?,4FGL J2243.7-1231,2.14,2WHSPJ224339.6-123100
1903,3HSPJ224435.0-723314,,341.14571,-72.55389,8.4,,-12.3,,,2WHSPJ224434.9-723314
1907,3HSPJ224642.1-520640,,341.67533,-52.11111,11.5,1.72,-11.2,4FGL J2246.7-5207,1.44,2WHSPJ224641.9-520639
1908,3HSPJ224728.0-545206,,341.86658,-54.86833,19.9,0.22,-12.4?,,,2WHSPJ224727.8-545205
1912,3HSPJ224833.3+322334,,342.13892,32.39278,17.6,0.11,-12.4,,,2WHSPJ224833.3+322334
1917,3HSPJ225240.8+162755,,343.17013,16.46528,4.4,,-12.6,,,2WHSPJ225240.8+162755
1919,3HSPJ225441.8+293436,,343.67437,29.57667,26.2,,-12.4,,,2WHSPJ225441.8+293436
1922,3HSPJ225636.1-554709,,344.15021,-55.78583,7.7,0.09,-12.3,,,2WHSPJ225635.9-554713
1924,3HSPJ230012.4+405225,,345.05154,40.87361,15.1,0.67,-11.7,4FGL J2300.1+4053,1.51,2WHSPJ230012.2+405224
1925,3HSPJ230039.7-533111,,345.16554,-53.51972,9.0,0.18,-12.2?,,,2WHSPJ230039.7-533110
1926,3HSPJ230327.4-520033,,345.86421,-52.00917,11.3,,-12.7,,,2WHSPJ230327.4-520033
1927,3HSPJ230329.9+032156,,345.87454,3.36556,3.9,0.09,-12.3,,,2WHSPJ230329.8+032156
1928,3HSPJ230344.6-043856,,345.93575,-4.64889,74.2,0.24,-12.3,,,2WHSPJ230344.5-043856
1930,3HSPJ230525.8+294811,,346.35742,29.80306,6.5,0.09,-12.3,,,2WHSPJ230525.6+294811
1931,3HSPJ230527.0-674304,,346.3625,-67.71778,11.3,0.05,-12.7,,,2WHSPJ230526.9-674304
1933,3HSPJ230717.3-423616,,346.82225,-42.60444,14.2,0.41,-12.2?,,,2WHSPJ230717.2-423615
1935,3HSPJ230814.9-160446,,347.06204,-16.07944,9.5,,-12.2,,,2WHSPJ230814.8-160445
1938,3HSPJ230940.8-363248,,347.42013,-36.54667,,0.37,-11.6,4FGL J2309.7-3632,1.85,2WHSPJ230940.8-363248
1939,3HSPJ231011.8-105903,,347.54921,-10.98417,21.1,0.18,-12.2,,,2WHSPJ231011.8-105903
1940,3HSPJ231023.4+311949,,347.59738,31.33028,7.4,0.07,-12.5,,,2WHSPJ231023.2+311949
1944,3HSPJ231305.1-600522,,348.27417,-60.08944,11.5,0.15,-12.3,,,2WHSPJ231305.8-600521
1945,3HSPJ231306.5-550407,,348.27692,-55.06861,93.0,,-12.5,,,2WHSPJ231306.4-550406
1946,3HSPJ231323.1+402816,,348.34792,40.47111,4.4,0.13,-11.8,,,2WHSPJ231323.5+402810
1947,3HSPJ231347.9-692331,,348.44946,-69.39194,12.2,0.51,-11.8,4FGL J2313.4-6922,1.8,2WHSPJ231347.8-692330
1950,3HSPJ231732.0-453359,,349.38321,-45.56639,39.9,0.18,-11.8,4FGL J2317.4-4533,2.19,2WHSPJ231731.9-453359
1951,3HSPJ231752.1-144324,,349.46962,-14.72333,24.6,0.14,-11.9,,,2WHSPJ231752.6-144323
1952,3HSPJ231827.2+070124,,349.61333,7.02333,5.9,0.04,-12.8,,,2WHSPJ231827.1+070123
1957,3HSPJ232039.8-630918,,350.16604,-63.155,37.6,0.52,-11.7,4FGL J2321.0-6308,1.71,2WHSPJ232039.7-630918
1958,3HSPJ232110.9-121601,,350.2955,-12.26694,14.7,0.2,-12.2,,,2WHSPJ232110.9-121600
1971,3HSPJ233016.2-233641,,352.56733,-23.61139,9.9,0.05,-12.4,4FGL J2330.3-2332,2.22,2WHSPJ233016.0-233641
1972,3HSPJ233113.0-030130,,352.80404,-3.025,12.5,0.21,-12.3,4FGL J2331.5-0258,2.17,2WHSPJ233112.8-030129
1973,3HSPJ233207.7-025245,,353.03188,-2.87917,5.5,0.06,-12.3,,,2WHSPJ233207.6-025245
1974,3HSPJ233250.6+452937,,353.21104,45.49361,53.1,0.2,-12.1,,,2WHSPJ233250.5+452936
1975,3HSPJ233252.2-052142,,353.21746,-5.36167,11.0,0.14,-12.4?,,,2WHSPJ233252.0-052142
1976,3HSPJ233339.5-252710,,353.41467,-25.45278,7.2,0.2,-12.1?,,,2WHSPJ233339.4-252710
1977,3HSPJ233352.4-241659,,353.46825,-24.28306,6.4,0.15,-12.5,,,2WHSPJ233352.3-241659
1978,3HSPJ233404.0+084725,,353.51671,8.79028,90.5,,-12.2?,,,2WHSPJ233404.0+084725
1980,3HSPJ233630.5-635634,,354.12713,-63.94278,37.2,0.08,-12.1,,,2WHSPJ233630.4-635634
1981,3HSPJ233653.8-232626,,354.224,-23.44056,94.5,0.14,-12.4,,,2WHSPJ233653.6-232626
1982,3HSPJ233859.2+025109,,354.7465,2.8525,30.1,0.13,-12.4,4FGL J2339.6+0242,2.58,2WHSPJ233859.0+025109
1984,3HSPJ233920.9-740435,,354.83704,-74.07639,52.3,0.34,-11.9,4FGL J2339.2-7403,1.89,2WHSPJ233920.8-740435
1985,3HSPJ234042.9+385511,,355.17858,38.91972,11.6,0.12,-12.2,4FGL J2340.5+3854,1.92,2WHSPJ234042.7+385510
1986,3HSPJ234043.8-462112,,355.18258,-46.35333,43.8,,-12.2,,,2WHSPJ234043.8-462111
1988,3HSPJ234238.6+361838,,355.66088,36.31056,10.9,,-12.2,,,2WHSPJ234238.5+361838
1989,3HSPJ234331.7+783143,,355.882,78.52861,6.2,0.08,-12.1,,,2WHSPJ234331.6+783142
1994,3HSPJ234754.8-663045,,356.97846,-66.5125,13.7,,-12.4,,,2WHSPJ234754.7-663045
1995,3HSPJ234857.3-312217,,357.23888,-31.37139,4.7,0.03,-13,,,2WHSPJ234857.2-312217
1997,3HSPJ235013.6+015146,,357.55658,1.86278,15.2,0.16,-12.3,,,2WHSPJ235013.4+015146
2000,3HSPJ235034.0-300604,,357.64292,-30.10111,39.1,0.27,-12.2,4FGL J2350.6-3005,2.08,2WHSPJ235034.3-300603
2001,3HSPJ235116.1-760015,,357.81721,-76.00417,68.1,,-12.2,4FGL J2351.3-7559,1.69,2WHSPJ235116.0-760015
2005,3HSPJ235725.1-171234,,359.35471,-17.20944,7.9,0.03,-12.6,,1.8,2WHSPJ235725.0-171233
2010,3HSPJ235917.0+021520,,359.821,2.25556,5.0,0.1,-12.7,,,2WHSPJ235916.9+021520
2012,3HSPJ235921.3-131129,,359.83892,-13.19139,30.4,0.07,-12.7,,,2WHSPJ235921.3-131129
2013,3HSPJ235955.0+314600,,359.98042,31.76667,23.7,,-12,,,2WHSPJ235955.3+314600
